"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","INDPROD","TOT","IDX2015","A","1987",100.5203,
"ITA","INDPROD","TOT","IDX2015","A","1988",106.8747,
"ITA","INDPROD","TOT","IDX2015","A","1989",110.7504,
"ITA","INDPROD","TOT","IDX2015","A","1990",110.5241,
"ITA","INDPROD","TOT","IDX2015","A","1991",109.4659,
"ITA","INDPROD","TOT","IDX2015","A","1992",108.316,
"ITA","INDPROD","TOT","IDX2015","A","1993",105.6579,
"ITA","INDPROD","TOT","IDX2015","A","1994",112.099,
"ITA","INDPROD","TOT","IDX2015","A","1995",118.7484,
"ITA","INDPROD","TOT","IDX2015","A","1996",116.7569,
"ITA","INDPROD","TOT","IDX2015","A","1997",121.2732,
"ITA","INDPROD","TOT","IDX2015","A","1998",122.7814,
"ITA","INDPROD","TOT","IDX2015","A","1999",122.4731,
"ITA","INDPROD","TOT","IDX2015","A","2000",127.6644,
"ITA","INDPROD","TOT","IDX2015","A","2001",125.3646,
"ITA","INDPROD","TOT","IDX2015","A","2002",123.4897,
"ITA","INDPROD","TOT","IDX2015","A","2003",122.7064,
"ITA","INDPROD","TOT","IDX2015","A","2004",122.4815,
"ITA","INDPROD","TOT","IDX2015","A","2005",121.7149,
"ITA","INDPROD","TOT","IDX2015","A","2006",126.1312,
"ITA","INDPROD","TOT","IDX2015","A","2007",129.0642,
"ITA","INDPROD","TOT","IDX2015","A","2008",123.748,
"ITA","INDPROD","TOT","IDX2015","A","2009",100.7499,
"ITA","INDPROD","TOT","IDX2015","A","2010",107.791,
"ITA","INDPROD","TOT","IDX2015","A","2011",108.6409,
"ITA","INDPROD","TOT","IDX2015","A","2012",102.3998,
"ITA","INDPROD","TOT","IDX2015","A","2013",99.25839,
"ITA","INDPROD","TOT","IDX2015","A","2014",98.62511,
"ITA","INDPROD","TOT","IDX2015","A","2015",99.64169,
"ITA","INDPROD","TOT","IDX2015","A","2016",101.6915,
"ITA","INDPROD","TOT","IDX2015","A","2017",105.4829,
"ITA","INDPROD","TOT","IDX2015","A","2018",106.3911,
"ITA","INDPROD","TOT","IDX2015","A","2019",105.1579,
"ITA","INDPROD","TOT","IDX2015","A","2020",93.58387,
"ITA","INDPROD","TOT","IDX2015","A","2021",104.508,
"ITA","INDPROD","TOT","IDX2015","A","2022",104.9329,
"JPN","INDPROD","TOT","IDX2015","A","1955",6.274619,
"JPN","INDPROD","TOT","IDX2015","A","1956",7.697801,
"JPN","INDPROD","TOT","IDX2015","A","1957",9.071907,
"JPN","INDPROD","TOT","IDX2015","A","1958",8.896639,
"JPN","INDPROD","TOT","IDX2015","A","1959",10.67737,
"JPN","INDPROD","TOT","IDX2015","A","1960",13.32743,
"JPN","INDPROD","TOT","IDX2015","A","1961",15.93543,
"JPN","INDPROD","TOT","IDX2015","A","1962",17.24644,
"JPN","INDPROD","TOT","IDX2015","A","1963",19.19543,
"JPN","INDPROD","TOT","IDX2015","A","1964",22.2451,
"JPN","INDPROD","TOT","IDX2015","A","1965",23.06536,
"JPN","INDPROD","TOT","IDX2015","A","1966",26.12205,
"JPN","INDPROD","TOT","IDX2015","A","1967",31.18381,
"JPN","INDPROD","TOT","IDX2015","A","1968",36.0072,
"JPN","INDPROD","TOT","IDX2015","A","1969",41.74199,
"JPN","INDPROD","TOT","IDX2015","A","1970",47.46977,
"JPN","INDPROD","TOT","IDX2015","A","1971",48.73872,
"JPN","INDPROD","TOT","IDX2015","A","1972",52.23007,
"JPN","INDPROD","TOT","IDX2015","A","1973",60.06808,
"JPN","INDPROD","TOT","IDX2015","A","1974",57.76856,
"JPN","INDPROD","TOT","IDX2015","A","1975",51.35373,
"JPN","INDPROD","TOT","IDX2015","A","1976",57.02542,
"JPN","INDPROD","TOT","IDX2015","A","1977",59.40907,
"JPN","INDPROD","TOT","IDX2015","A","1978",63.1458,
"JPN","INDPROD","TOT","IDX2015","A","1979",67.80094,
"JPN","INDPROD","TOT","IDX2015","A","1980",71.01186,
"JPN","INDPROD","TOT","IDX2015","A","1981",71.69891,
"JPN","INDPROD","TOT","IDX2015","A","1982",71.95831,
"JPN","INDPROD","TOT","IDX2015","A","1983",74.24381,
"JPN","INDPROD","TOT","IDX2015","A","1984",81.15641,
"JPN","INDPROD","TOT","IDX2015","A","1985",84.14299,
"JPN","INDPROD","TOT","IDX2015","A","1986",83.98174,
"JPN","INDPROD","TOT","IDX2015","A","1987",86.87017,
"JPN","INDPROD","TOT","IDX2015","A","1988",94.9115,
"JPN","INDPROD","TOT","IDX2015","A","1989",100.4045,
"JPN","INDPROD","TOT","IDX2015","A","1990",104.6469,
"JPN","INDPROD","TOT","IDX2015","A","1991",106.6413,
"JPN","INDPROD","TOT","IDX2015","A","1992",100.5482,
"JPN","INDPROD","TOT","IDX2015","A","1993",97.13407,
"JPN","INDPROD","TOT","IDX2015","A","1994",98.351,
"JPN","INDPROD","TOT","IDX2015","A","1995",101.3426,
"JPN","INDPROD","TOT","IDX2015","A","1996",103.5314,
"JPN","INDPROD","TOT","IDX2015","A","1997",107.6554,
"JPN","INDPROD","TOT","IDX2015","A","1998",100.4806,
"JPN","INDPROD","TOT","IDX2015","A","1999",101.0741,
"JPN","INDPROD","TOT","IDX2015","A","2000",106.0525,
"JPN","INDPROD","TOT","IDX2015","A","2001",99.62135,
"JPN","INDPROD","TOT","IDX2015","A","2002",98.45204,
"JPN","INDPROD","TOT","IDX2015","A","2003",102.2936,
"JPN","INDPROD","TOT","IDX2015","A","2004",107.1211,
"JPN","INDPROD","TOT","IDX2015","A","2005",108.8602,
"JPN","INDPROD","TOT","IDX2015","A","2006",113.2982,
"JPN","INDPROD","TOT","IDX2015","A","2007",116.6042,
"JPN","INDPROD","TOT","IDX2015","A","2008",112.8273,
"JPN","INDPROD","TOT","IDX2015","A","2009",89.39108,
"JPN","INDPROD","TOT","IDX2015","A","2010",102.7771,
"JPN","INDPROD","TOT","IDX2015","A","2011",99.92881,
"JPN","INDPROD","TOT","IDX2015","A","2012",100.0571,
"JPN","INDPROD","TOT","IDX2015","A","2013",99.45838,
"JPN","INDPROD","TOT","IDX2015","A","2014",101.2416,
"JPN","INDPROD","TOT","IDX2015","A","2015",100,
"JPN","INDPROD","TOT","IDX2015","A","2016",100.225,
"JPN","INDPROD","TOT","IDX2015","A","2017",102.8414,
"JPN","INDPROD","TOT","IDX2015","A","2018",103.908,
"JPN","INDPROD","TOT","IDX2015","A","2019",101.1916,
"JPN","INDPROD","TOT","IDX2015","A","2020",90.94242,
"JPN","INDPROD","TOT","IDX2015","A","2021",95.80869,
"JPN","INDPROD","TOT","IDX2015","A","2022",95.98367,
"GBR","INDPROD","TOT","IDX2015","A","1968",57.65829,
"GBR","INDPROD","TOT","IDX2015","A","1969",59.63919,
"GBR","INDPROD","TOT","IDX2015","A","1970",59.95755,
"GBR","INDPROD","TOT","IDX2015","A","1971",59.62151,
"GBR","INDPROD","TOT","IDX2015","A","1972",60.63848,
"GBR","INDPROD","TOT","IDX2015","A","1973",66.12133,
"GBR","INDPROD","TOT","IDX2015","A","1974",64.80368,
"GBR","INDPROD","TOT","IDX2015","A","1975",61.29289,
"GBR","INDPROD","TOT","IDX2015","A","1976",63.27379,
"GBR","INDPROD","TOT","IDX2015","A","1977",66.55465,
"GBR","INDPROD","TOT","IDX2015","A","1978",68.46481,
"GBR","INDPROD","TOT","IDX2015","A","1979",71.06474,
"GBR","INDPROD","TOT","IDX2015","A","1980",66.43969,
"GBR","INDPROD","TOT","IDX2015","A","1981",64.30846,
"GBR","INDPROD","TOT","IDX2015","A","1982",65.55536,
"GBR","INDPROD","TOT","IDX2015","A","1983",67.99611,
"GBR","INDPROD","TOT","IDX2015","A","1984",68.00495,
"GBR","INDPROD","TOT","IDX2015","A","1985",71.7103,
"GBR","INDPROD","TOT","IDX2015","A","1986",73.47011,
"GBR","INDPROD","TOT","IDX2015","A","1987",76.46799,
"GBR","INDPROD","TOT","IDX2015","A","1988",80.12027,
"GBR","INDPROD","TOT","IDX2015","A","1989",81.78281,
"GBR","INDPROD","TOT","IDX2015","A","1990",81.53519,
"GBR","INDPROD","TOT","IDX2015","A","1991",78.77608,
"GBR","INDPROD","TOT","IDX2015","A","1992",79.05907,
"GBR","INDPROD","TOT","IDX2015","A","1993",80.78352,
"GBR","INDPROD","TOT","IDX2015","A","1994",85.17863,
"GBR","INDPROD","TOT","IDX2015","A","1995",86.64662,
"GBR","INDPROD","TOT","IDX2015","A","1996",87.81393,
"GBR","INDPROD","TOT","IDX2015","A","1997",90.21931,
"GBR","INDPROD","TOT","IDX2015","A","1998",93.11107,
"GBR","INDPROD","TOT","IDX2015","A","1999",97.4885,
"GBR","INDPROD","TOT","IDX2015","A","2000",99.43403,
"GBR","INDPROD","TOT","IDX2015","A","2001",102.3523,
"GBR","INDPROD","TOT","IDX2015","A","2002",103.4489,
"GBR","INDPROD","TOT","IDX2015","A","2003",106.2522,
"GBR","INDPROD","TOT","IDX2015","A","2004",105.6774,
"GBR","INDPROD","TOT","IDX2015","A","2005",104.6604,
"GBR","INDPROD","TOT","IDX2015","A","2006",108.2066,
"GBR","INDPROD","TOT","IDX2015","A","2007",106.5706,
"GBR","INDPROD","TOT","IDX2015","A","2008",105.138,
"GBR","INDPROD","TOT","IDX2015","A","2009",97.9572,
"GBR","INDPROD","TOT","IDX2015","A","2010",96.68376,
"GBR","INDPROD","TOT","IDX2015","A","2011",91.46622,
"GBR","INDPROD","TOT","IDX2015","A","2012",91.49275,
"GBR","INDPROD","TOT","IDX2015","A","2013",93.50018,
"GBR","INDPROD","TOT","IDX2015","A","2014",95.30421,
"GBR","INDPROD","TOT","IDX2015","A","2015",100,
"GBR","INDPROD","TOT","IDX2015","A","2016",100.5041,
"GBR","INDPROD","TOT","IDX2015","A","2017",100.336,
"GBR","INDPROD","TOT","IDX2015","A","2018",103.6788,
"GBR","INDPROD","TOT","IDX2015","A","2019",106.1019,
"GBR","INDPROD","TOT","IDX2015","A","2020",107.4372,
"GBR","INDPROD","TOT","IDX2015","A","2021",115.2724,
"GBR","INDPROD","TOT","IDX2015","A","2022",112.0623,
"USA","INDPROD","TOT","IDX2015","A","1950",15.63801,
"USA","INDPROD","TOT","IDX2015","A","1951",16.96154,
"USA","INDPROD","TOT","IDX2015","A","1952",17.61218,
"USA","INDPROD","TOT","IDX2015","A","1953",19.09782,
"USA","INDPROD","TOT","IDX2015","A","1954",18.06297,
"USA","INDPROD","TOT","IDX2015","A","1955",20.36582,
"USA","INDPROD","TOT","IDX2015","A","1956",21.26297,
"USA","INDPROD","TOT","IDX2015","A","1957",21.54055,
"USA","INDPROD","TOT","IDX2015","A","1958",20.1704,
"USA","INDPROD","TOT","IDX2015","A","1959",22.57096,
"USA","INDPROD","TOT","IDX2015","A","1960",23.07061,
"USA","INDPROD","TOT","IDX2015","A","1961",23.22605,
"USA","INDPROD","TOT","IDX2015","A","1962",25.15581,
"USA","INDPROD","TOT","IDX2015","A","1963",26.6481,
"USA","INDPROD","TOT","IDX2015","A","1964",28.44464,
"USA","INDPROD","TOT","IDX2015","A","1965",31.28491,
"USA","INDPROD","TOT","IDX2015","A","1966",34.04741,
"USA","INDPROD","TOT","IDX2015","A","1967",34.77309,
"USA","INDPROD","TOT","IDX2015","A","1968",36.7128,
"USA","INDPROD","TOT","IDX2015","A","1969",38.41603,
"USA","INDPROD","TOT","IDX2015","A","1970",37.13872,
"USA","INDPROD","TOT","IDX2015","A","1971",37.65934,
"USA","INDPROD","TOT","IDX2015","A","1972",41.27946,
"USA","INDPROD","TOT","IDX2015","A","1973",44.66473,
"USA","INDPROD","TOT","IDX2015","A","1974",44.53441,
"USA","INDPROD","TOT","IDX2015","A","1975",40.56657,
"USA","INDPROD","TOT","IDX2015","A","1976",43.76569,
"USA","INDPROD","TOT","IDX2015","A","1977",47.11248,
"USA","INDPROD","TOT","IDX2015","A","1978",49.70444,
"USA","INDPROD","TOT","IDX2015","A","1979",51.19251,
"USA","INDPROD","TOT","IDX2015","A","1980",49.8674,
"USA","INDPROD","TOT","IDX2015","A","1981",50.52276,
"USA","INDPROD","TOT","IDX2015","A","1982",47.90401,
"USA","INDPROD","TOT","IDX2015","A","1983",49.21435,
"USA","INDPROD","TOT","IDX2015","A","1984",53.60147,
"USA","INDPROD","TOT","IDX2015","A","1985",54.25791,
"USA","INDPROD","TOT","IDX2015","A","1986",54.80766,
"USA","INDPROD","TOT","IDX2015","A","1987",57.66471,
"USA","INDPROD","TOT","IDX2015","A","1988",60.64859,
"USA","INDPROD","TOT","IDX2015","A","1989",61.19784,
"USA","INDPROD","TOT","IDX2015","A","1990",61.78679,
"USA","INDPROD","TOT","IDX2015","A","1991",60.87578,
"USA","INDPROD","TOT","IDX2015","A","1992",62.65674,
"USA","INDPROD","TOT","IDX2015","A","1993",64.71497,
"USA","INDPROD","TOT","IDX2015","A","1994",68.12232,
"USA","INDPROD","TOT","IDX2015","A","1995",71.27883,
"USA","INDPROD","TOT","IDX2015","A","1996",74.51486,
"USA","INDPROD","TOT","IDX2015","A","1997",79.87054,
"USA","INDPROD","TOT","IDX2015","A","1998",84.5632,
"USA","INDPROD","TOT","IDX2015","A","1999",88.26862,
"USA","INDPROD","TOT","IDX2015","A","2000",91.68756,
